Country,bat_avg,ball_per_wkt,bat_sr,boundary%,dot%,economy,bowl_avg,bowl_sr
South Africa,0.594269751120393,0.6743517844981478,0.06350028805674601,-0.5178311562885298,0.7797964729580981,0.6576875995086882,1.1105215030665037,0.8510504961814389
Pakistan,0.4954903286821513,0.8945273861186508,-0.5414686724838932,-0.7015049329434543,0.5351189044529423,0.7416477185949015,0.7898541997494278,0.23706617027900187
England,0.24376212311372797,-0.3241189670366938,1.243404289111179,1.0256730370046085,0.5260567722860832,-0.9935280758535414,-0.38311304133145824,0.7487197751976954
India,1.3908779965900882,1.3041564123893548,0.5883787951924738,0.29420027734376836,0.7662032747078111,-0.2658737104396779,-1.2016585261145214,-1.502556086444578
New Zealand,0.4508802669358482,0.4490558200492601,0.16075298147699116,-0.6273909528897117,0.8296381998758148,-0.9375546631293992,-0.42530610755738996,0.6122788138860454
Australia,0.7535914002143321,0.3773707404518867,0.9630877021940035,0.010633744964235156,0.8794799267935316,-0.5737274804224675,-1.3619921777730608,-1.297894644477097
West Indies,-0.31705008169693777,-0.6979054535087093,0.6842013019447755,2.0213782472918287,-1.6126064190923186,-1.4972887903708312,-0.6278328254418581,1.0216016978210014
Afghanistan,-1.8178600161618435,-2.1316070454561724,-0.01802035201610475,0.6099902793118829,-1.290900727168872,1.6092356158191254,1.102082889821319,-0.5474693572630037
Bangladesh,-1.4546066562276623,-0.7286276304790132,-2.0445948604938424,-1.136521772389326,-1.2138726037505814,0.8815812504052595,1.3383640606865344,0.9363260970012233
Sri Lanka,-0.3393551125700893,0.18279695297330298,-1.0992414729823492,-0.9786267714052699,-0.19891380106252837,0.37782053588796977,-0.3409199751055265,-1.0591229621817033
