p_bowl,bowl,bowlruns,ballfaced,p_match,bowl_style,economy,outs,average,strike rate
26421,Ravichandran Ashwin,3889,3247,152,OB,7.186325839236218,151,25.75496688741722,21.503311258278146
637151,Danny Lamb,1288,879,48,RM,8.791808873720136,50,25.76,17.58
221140,David Wiese,5597,3991,225,RFM,8.414432473064394,217,25.792626728110598,18.391705069124423
1093092,Ben Mike,1111,650,43,RFM,10.255384615384616,43,25.837209302325583,15.116279069767442
18632,Samit Patel,4836,3860,193,SLA,7.517098445595855,187,25.86096256684492,20.641711229946523
325012,Marcus Stoinis,2901,1928,135,RM,9.028008298755188,112,25.901785714285715,17.214285714285715
514612,Gavin Griffiths,1454,989,57,RFM,8.82103134479272,56,25.964285714285715,17.660714285714285
639080,Matthew Fisher,1221,817,42,RFM,8.966952264381884,47,25.97872340425532,17.382978723404257
403902,Liam Livingstone,2469,1770,120,RWS,8.36949152542373,95,25.989473684210527,18.63157894736842
344580,Shreyas Gopal,1326,990,51,RWS,8.036363636363637,51,26.0,19.41176470588235
19274,Steven Patterson,962,705,33,RFM,8.187234042553191,37,26.0,19.054054054054053
323244,Rahat Ali,1171,839,38,LFM,8.374255065554232,45,26.022222222222222,18.644444444444446
322810,Cameron Delport,1172,863,64,RM,8.148319814600232,45,26.044444444444444,19.177777777777777
38607,William Somerville,1042,761,39,OB,8.215505913272011,40,26.05,19.025
390484,Jaydev Unadkat,2609,1758,83,LM,8.904436860068259,100,26.09,17.58
25913,Mohammad Nabi,4803,4063,213,OB,7.0927885798670935,184,26.10326086956522,22.081521739130434
440522,Logan van Beek,2455,1774,87,RFM,8.303269447576099,94,26.117021276595743,18.872340425531913
327947,Dane Paterson,1886,1319,66,RFM,8.579226686884002,72,26.194444444444443,18.319444444444443
595921,Curtis Campher,1049,717,44,RFM,8.778242677824268,40,26.225,17.925
698189,Wiaan Mulder,1102,778,51,RM,8.498714652956298,42,26.238095238095237,18.523809523809526
9042,Gareth Batty,1863,1522,81,OB,7.344283837056505,71,26.239436619718308,21.43661971830986
959767,Rachin Ravindra,1076,864,47,SLA,7.472222222222222,41,26.24390243902439,21.073170731707318
498440,Ronsford Beaton,840,600,30,RFM,8.4,32,26.25,18.75
662973,Sam Curran,5415,3772,193,LMF,8.613467656415695,206,26.28640776699029,18.310679611650485
930189,Lalit Yadav,684,533,32,OB,7.699812382739212,26,26.307692307692307,20.5
1081442,Mayank Markande,1343,1002,52,RWS,8.04191616766467,51,26.333333333333332,19.647058823529413
36948,Anton Devcich,896,705,39,SLA,7.625531914893617,34,26.352941176470587,20.735294117647058
802575,T Natarajan,1821,1258,58,LM,8.685214626391097,69,26.391304347826086,18.231884057971016
1064812,Rahul Chahar,2271,1821,83,RWS,7.482701812191104,86,26.406976744186046,21.174418604651162
922947,Sameen Gul,1058,741,35,RM,8.566801619433198,40,26.45,18.525
5961,Moises Henriques,1405,1077,74,RFM,7.827298050139276,53,26.50943396226415,20.32075471698113
677081,Keemo Paul,2227,1510,88,RFM,8.849006622516557,84,26.511904761904763,17.976190476190474
