,p_match,inns,bat,p_bat,team_bat,bowl,p_bowl,team_bowl,ball,ball_id,outcome,score,out,dismissal,p_out,over,ball.1,noball,wide,byes,legbyes,cur_bat_runs,cur_bat_bf,cur_bowl_ovr,cur_bowl_wkts,cur_bowl_runs,inns_runs,inns_wkts,inns_balls,inns_runs_rem,inns_balls_rem,inns_rr,inns_rrr,target,max_balls,date,year,ground,country,winner,toss,competition,bat_hand,bowl_style,bowl_kind,batruns,ballfaced,bowlruns,bat_out,wagonX,wagonY,wagonZone,pitchLine,pitchLength,shotType
1427609,1377068,1,Nimantha Peiris,1256531,Panadura Sports Club,Supun Madushanka,533524,Police Sports Club,13,1377068_1_6_13,no run,0,False,,1256531,6,13,0,0,0,0,6,4,0.4,0,7,35,0,35,,0,6.0,,,0,2023-06-02,2023,Colombo Cricket Club Ground,Sri Lanka,Panadura Sports Club,Panadura Sports Club,Clubs T20,RHB,LB,spin bowler,0,1,0,True,0,0,0,,,
1427610,1377068,1,Nimantha Peiris,1256531,Panadura Sports Club,Supun Madushanka,533524,Police Sports Club,14,1377068_1_6_14,no run,0,False,,1256531,6,14,0,0,0,0,6,5,1.0,0,8,44,1,36,,0,7.33,,,0,2023-06-02,2023,Colombo Cricket Club Ground,Sri Lanka,Panadura Sports Club,Panadura Sports Club,Clubs T20,RHB,LB,spin bowler,0,1,0,True,0,0,0,,,
1427618,1377068,1,Sukitha Manoj,1301855,Panadura Sports Club,Asitha Jayawardana,1302756,Police Sports Club,13,1377068_1_9_13,no run,0,False,,1301855,9,13,0,0,0,0,1,2,2.0,1,11,63,2,54,,0,7.0,,,0,2023-06-02,2023,Colombo Cricket Club Ground,Sri Lanka,Panadura Sports Club,Panadura Sports Club,Clubs T20,LHB,RM,pace bowler,0,1,0,True,0,0,0,,,
1427622,1377068,1,Rajeewa Weerasinghe,227773,Panadura Sports Club,Asitha Jayawardana,1302756,Police Sports Club,12,1377068_1_17_12,run,1,False,,227773,17,12,0,0,0,0,14,9,2.5,1,25,110,5,101,,0,6.53,,,0,2023-06-02,2023,Colombo Cricket Club Ground,Sri Lanka,Panadura Sports Club,Panadura Sports Club,Clubs T20,RHB,RM,pace bowler,1,1,1,True,0,0,0,,,
1427629,1377068,1,Koshan Danuska,499596,Panadura Sports Club,Asitha Jayawardana,1302756,Police Sports Club,13,1377068_1_17_13,no run,0,False,,499596,17,13,0,0,0,0,9,11,3.0,1,25,115,5,102,,0,6.76,,,0,2023-06-02,2023,Colombo Cricket Club Ground,Sri Lanka,Panadura Sports Club,Panadura Sports Club,Clubs T20,RHB,RM,pace bowler,0,1,0,True,0,0,0,,,
1427631,1377068,1,Koshan Danuska,499596,Panadura Sports Club,Asitha Jayawardana,1302756,Police Sports Club,12,1377068_1_19_12,four,4,False,,499596,19,12,0,0,0,0,20,14,4.0,1,48,151,5,114,,0,7.94,,,0,2023-06-02,2023,Colombo Cricket Club Ground,Sri Lanka,Panadura Sports Club,Panadura Sports Club,Clubs T20,RHB,RM,pace bowler,4,1,4,True,0,0,0,,,
1427643,1377068,1,Koshan Danuska,499596,Panadura Sports Club,Nalin Priyadarshana,359624,Police Sports Club,12,1377068_1_14_12,no run,0,False,,499596,14,12,0,0,0,0,0,3,4.0,3,16,91,5,84,,0,6.5,,,0,2023-06-02,2023,Colombo Cricket Club Ground,Sri Lanka,Panadura Sports Club,Panadura Sports Club,Clubs T20,RHB,OB,spin bowler,0,1,0,True,0,0,0,,,
1433640,1347619,1,Emilio Gay,1148593,Northamptonshire,Bas de Leede,1036191,Durham,12,1347619_1_2_12,run,1,False,,1148593,2,12,0,0,0,0,2,7,0.4,0,5,13,0,10,,110,7.8,,,120,2023-06-06,2023,"Riverside Ground, Chester-le-Street",England,Durham,Durham,T20 Blast,LHB,RFM,pace bowler,1,1,1,True,59,157,7,,,VERTICAL_FORWARD_ATTACK
1433641,1347619,1,Emilio Gay,1148593,Northamptonshire,Bas de Leede,1036191,Durham,14,1347619_1_2_14,four,4,False,,1148593,2,14,0,0,0,0,6,8,1.0,0,10,18,0,12,,108,9.0,,,120,2023-06-06,2023,"Riverside Ground, Chester-le-Street",England,Durham,Durham,T20 Blast,LHB,RFM,pace bowler,4,1,4,True,66,57,8,,,LEG_GLANCE
1433644,1347619,1,Chris Lynn,326637,Northamptonshire,Bas de Leede,1036191,Durham,13,1347619_1_2_13,run,1,False,,326637,2,13,0,0,0,0,6,4,0.5,0,6,14,0,11,,109,7.63,,,120,2023-06-06,2023,"Riverside Ground, Chester-le-Street",England,Durham,Durham,T20 Blast,RHB,RFM,pace bowler,1,1,1,True,250,197,3,,,VERTICAL_FORWARD_ATTACK
1434964,1377084,1,Abisheak Liyanaarachchi,1292948,Sebastianites Cricket and Athletic Club,Udith Madushan,925357,Colts Cricket Club,12,1377084_1_2_12,run,1,False,,1292948,2,12,0,0,0,0,4,5,1.0,0,1,8,0,12,,0,4.0,,,0,2023-06-07,2023,"Nondescripts Cricket Club Ground, Colombo",Sri Lanka,Sebastianites Cricket and Athletic Club,Colts Cricket Club,Clubs T20,RHB,RFM,pace bowler,1,1,1,True,0,0,0,,,
1434968,1377084,1,Abisheak Liyanaarachchi,1292948,Sebastianites Cricket and Athletic Club,Udith Madushan,925357,Colts Cricket Club,12,1377084_1_4_12,no run,0,False,,1292948,4,12,0,0,0,0,7,11,2.0,0,4,21,0,24,,0,5.25,,,0,2023-06-07,2023,"Nondescripts Cricket Club Ground, Colombo",Sri Lanka,Sebastianites Cricket and Athletic Club,Colts Cricket Club,Clubs T20,RHB,RFM,pace bowler,0,1,0,True,0,0,0,,,
1434989,1377084,1,Tharindu Rathnayake,950405,Sebastianites Cricket and Athletic Club,Malka Madusanka,1129579,Colts Cricket Club,22,1377084_1_8_22,no run,0,False,,950405,8,22,0,0,0,0,0,1,0.1,0,0,37,0,46,,0,4.82,,,0,2023-06-07,2023,"Nondescripts Cricket Club Ground, Colombo",Sri Lanka,Sebastianites Cricket and Athletic Club,Colts Cricket Club,Clubs T20,LHB,SLA,spin bowler,0,1,0,True,0,0,0,,,
1434990,1377084,1,Tharindu Rathnayake,950405,Sebastianites Cricket and Athletic Club,Malka Madusanka,1129579,Colts Cricket Club,23,1377084_1_8_23,no run,0,False,,950405,8,23,0,0,0,0,0,2,0.2,0,0,37,0,47,,0,4.72,,,0,2023-06-07,2023,"Nondescripts Cricket Club Ground, Colombo",Sri Lanka,Sebastianites Cricket and Athletic Club,Colts Cricket Club,Clubs T20,LHB,SLA,spin bowler,0,1,0,True,0,0,0,,,
1434991,1377084,1,Tharindu Rathnayake,950405,Sebastianites Cricket and Athletic Club,Malka Madusanka,1129579,Colts Cricket Club,24,1377084_1_8_24,run,2,False,,950405,8,24,0,0,0,0,2,3,1.0,1,6,62,1,48,,0,7.75,,,0,2023-06-07,2023,"Nondescripts Cricket Club Ground, Colombo",Sri Lanka,Sebastianites Cricket and Athletic Club,Colts Cricket Club,Clubs T20,LHB,SLA,spin bowler,2,1,2,True,0,0,0,,,
1505956,1398295,1,Syed Aziz,868003,Malaysia,Nasrulla Rana,1058924,Hong Kong,12,1398295_1_4_12,six,6,False,,868003,4,12,0,0,0,0,36,18,2.0,0,33,63,0,24,,96,15.75,,,120,2023-09-19,2023,"Bayuemas Oval, Kuala Lumpur",Malaysia,Malaysia,Hong Kong,T20I,LHB,RMF,pace bowler,6,1,6,True,15,75,7,ON_THE_STUMPS,FULL,FLICK
1507031,1398296,2,Tony Ura,302845,Papua New Guinea,Syazrul Idrus,402140,Malaysia,12,1398296_2_1_12,six,6,False,,302845,1,12,0,0,0,0,8,3,1.0,0,24,24,0,6,129.0,114,24.0,6.78,153.0,120,2023-09-20,2023,"Bayuemas Oval, Kuala Lumpur",Malaysia,Papua New Guinea,Malaysia,T20I,RHB,RM,pace bowler,6,1,6,True,350,260,3,ON_THE_STUMPS,FULL,FLICK
1510168,1399104,1,Kushal Bhurtel,794713,Nepal,Nyambaatar Naranbaatar,1400097,Mongolia,12,1399104_1_3_12,run,1,False,,794713,3,12,0,0,0,0,13,10,2.0,0,30,36,0,18,,0,12.0,,,0,2023-09-27,2023,Zhejiang University of Technology Cricket Field,China,Nepal,Mongolia,T20I,RHB,-,mixture/unknown,1,1,1,True,0,0,0,,,
