p_bat,bat,matches,batruns,ballfaced,strike rate,dismissals
47850,Roelof van der Merwe,109,1331,941,141.4452709883103,62
41140,Khurram Manzoor,46,1311,1050,124.85714285714286,46
25490,Richie Berrington,47,1310,976,134.22131147540983,37
381030,Gihahn Cloete,55,1310,1105,118.55203619909503,51
52983,Marlon Samuels,58,1299,1142,113.74781085814361,50
698189,Wiaan Mulder,59,1299,999,130.03003003003002,46
928057,Lorcan Tucker,72,1292,1026,125.92592592592592,67
772293,Michael Pepper,57,1291,882,146.3718820861678,48
55870,Sean Williams,68,1287,1027,125.31645569620254,56
348034,George Dockrell,88,1283,923,139.00325027085592,55
723105,Rinku Singh,45,1280,823,155.5285540704739,31
499560,Patrick Kruger,56,1279,998,128.1563126252505,50
21577,Peter Trego,62,1278,960,133.125,57
772361,Sam Harper,65,1276,949,134.45732349841938,62
439952,Chris Morris,100,1265,859,147.26426076833528,71
494581,Rahkeem Cornwall,58,1258,802,156.85785536159602,53
526021,Cole McConchie,61,1251,992,126.10887096774194,49
436677,Soumya Sarkar,73,1238,1007,122.93942403177756,69
602155,Tom Alsop,56,1234,1007,122.54220456802383,54
547764,Cam Fletcher,52,1233,893,138.07390817469204,31
784367,Charith Asalanka,60,1233,1034,119.24564796905223,56
1099379,Gareth Delany,69,1220,893,136.6181410974244,61
345821,Danushka Gunathilaka,55,1217,944,128.91949152542372,54
643197,Max O'Dowd,52,1213,1037,116.97203471552555,51
760015,Ed Pollock,67,1210,771,156.9390402075227,60
36581,Neil Broom,48,1204,923,130.4442036836403,48
928015,Josh Clarkson,53,1200,815,147.23926380368098,42
722303,Matt Renshaw,56,1198,935,128.1283422459893,47
532424,Sohail Akhtar,58,1197,959,124.81751824817518,47
324260,Sarel Erwee,48,1196,946,126.42706131078224,42
784369,Avishka Fernando,59,1195,1029,116.13216715257532,54
440517,Dane Cleaver,57,1180,934,126.33832976445396,51
17986,Steven Mullaney,84,1178,839,140.40524433849822,68
55412,Craig Ervine,55,1173,1089,107.71349862258953,50
787073,Chris Green,116,1150,891,129.06846240179573,78
529045,Jake Libby,45,1150,932,123.39055793991416,36
49764,Angelo Mathews,61,1142,949,120.33719704952581,50
10656,Michael Carberry,40,1135,834,136.09112709832135,33
32498,Yusuf Pathan,58,1131,868,130.2995391705069,37
36084,Yuvraj Singh,60,1129,952,118.59243697478992,55
265564,Wayne Parnell,90,1124,899,125.027808676307,60
1241277,Muhammad Waseem,29,1121,756,148.2804232804233,28
429754,Niroshan Dickwella,56,1120,815,137.42331288343559,53
595267,Matthew Breetzke,48,1119,852,131.33802816901408,38
381329,Beau Webster,51,1118,923,121.12676056338029,38
1161031,Saim Ayub,40,1114,779,143.00385109114248,39
47015,Jacques Rudolph,39,1107,914,121.1159737417943,29
459761,Ben Raine,72,1106,822,134.5498783454988,56
230555,Shamarh Brooks,51,1101,879,125.25597269624573,49
465793,Dhananjaya de Silva,57,1099,897,122.51950947603122,49
922941,Abdullah Shafique,43,1099,842,130.52256532066508,40
318842,Khaya Zondo,49,1094,932,117.38197424892704,35
605661,Ryan Rickelton,54,1094,908,120.48458149779735,52
459754,Lewis Hill,69,1088,868,125.34562211981567,60
46270,Johann Myburgh,43,1087,737,147.4898236092266,38
670013,Fabian Allen,79,1087,757,143.59313077939234,59
320652,Asghar Afghan,55,1085,944,114.9364406779661,52
302269,Chris Dent,44,1083,760,142.5,39
1088608,Max Bryant,50,1081,792,136.489898989899,48
935995,Afif Hossain,62,1081,891,121.32435465768799,52
277390,Pieter Malan,38,1081,892,121.18834080717488,33
211032,Karl Brown,45,1076,841,127.94292508917955,41
8291,Cameron White,46,1070,945,113.22751322751323,38
17970,Daryl Mitchell,57,1065,897,118.72909698996655,44
647785,Sahibzada Farhan,44,1065,925,115.13513513513513,39
595978,Tristan Stubbs,52,1063,714,148.8795518207283,46
5674,Brad Hodge,43,1063,806,131.88585607940448,30
559062,Nick Kelly,48,1058,817,129.4981640146879,45
391832,Roston Chase,49,1053,852,123.59154929577464,38
1070665,Dewald Brevis,44,1048,746,140.48257372654155,43
562263,Robert O'Donnell,42,1046,782,133.75959079283888,31
56029,Mushfiqur Rahim,64,1046,913,114.56736035049288,56
327832,Mangaliso Mosehle,64,1041,852,122.1830985915493,48
495964,Ryan Burl,57,1038,895,115.97765363128492,36
505120,Ashton Agar,82,1032,900,114.66666666666667,59
408413,Rob Keogh,55,1031,860,119.88372093023256,38
248920,Devon Thomas,60,1022,853,119.81242672919109,54
355266,Craig Cachopa,44,1019,739,137.8890392422192,36
737833,Kiran Carlson,54,1018,737,138.12754409769335,51
1107568,Joe Cracknell,43,1016,763,133.15858453473132,40
498585,David Bedingham,50,1012,784,129.08163265306123,49
498582,Jason Smith,46,1010,825,122.42424242424242,39
562281,Aneurin Donald,59,1009,755,133.64238410596028,54
596099,Dean Foxcroft,31,1003,769,130.42912873862159,29
887207,Ollie Pope,42,1002,739,135.58863328822733,33
470699,Ben Cooper,42,1000,807,123.91573729863693,39
266268,Pite van Biljon,54,995,802,124.06483790523691,44
316397,Asad Shafiq,42,994,787,126.30241423125794,41
550209,Wesley Marshall,45,993,688,144.33139534883722,42
663613,Saif Zaib,49,991,729,135.93964334705075,40
533870,Nick Larkin,45,988,804,122.88557213930348,31
10772,Paul Collingwood,42,984,794,123.9294710327456,34
423838,Rahul Tewatia,64,980,730,134.24657534246575,39
55814,Brendan Taylor,54,979,842,116.270783847981,46
787987,Marnus Labuschagne,38,978,777,125.86872586872587,38
1079434,Riyan Parag,53,977,736,132.7445652173913,40
1205559,Mohammad Haris,40,976,646,151.08359133126936,37
230549,Jason Mohammed,52,969,946,102.43128964059197,41
25446,Kyle Coetzer,43,955,743,128.53297442799462,43
229954,Mark Stoneman,44,953,761,125.22996057818659,41
326632,Joe Burns,53,952,818,116.38141809290954,41
510530,Jamie Overton,64,950,540,175.92592592592592,47
290716,Kedar Jadhav,59,948,792,119.6969696969697,42
630174,Delray Rawlins,51,947,657,144.1400304414003,42
373538,Sabbir Rahman,44,938,767,122.29465449804432,42
1161024,Prabhsimran Singh,39,934,683,136.74963396778915,36
437927,Stephan Baard,42,932,860,108.37209302325581,40
43265,Sohail Tanvir,102,928,818,113.44743276283619,56
222320,Christiaan Jonker,47,913,691,132.1273516642547,35
44956,Grant Elliott,57,910,753,120.84993359893758,43
1029993,Scott Steel,37,909,746,121.84986595174263,37
677081,Keemo Paul,70,908,705,128.79432624113474,45
417268,Matthew Cross,44,905,793,114.12358133669609,36
43590,Wahab Riaz,116,904,699,129.32761087267525,75
696241,Ricardo Vasconcelos,36,903,728,124.03846153846153,33
232491,Anwar Ali,75,902,628,143.63057324840764,48
47711,Morne van Wyk,30,896,661,135.5521936459909,30
530811,Chandrapaul Hemraj,44,896,760,117.89473684210526,43
505110,Kurtis Patterson,42,892,767,116.29726205997392,39
316102,Craig Williams,41,891,810,110.0,37
38373,Jesse Ryder,39,888,625,142.08,36
16406,Michael Lumb,40,877,671,130.70044709388972,39
521170,Lewis McManus,71,876,670,130.7462686567164,52
585083,Zeeshan Maqsood,35,871,717,121.47838214783822,30
434813,Marcus Harris,46,870,724,120.1657458563536,45
318788,Haris Sohail,45,866,767,112.90743155149934,38
853265,Mahipal Lomror,39,860,661,130.10590015128594,32
237095,Murali Vijay,33,859,736,116.71195652173913,29
519082,Dom Sibley,32,859,707,121.4992927864215,28
43121,Shaiman Anwar,27,853,716,119.1340782122905,27
893955,Ollie Robinson,39,849,667,127.28635682158921,33
9310,Tim Bresnan,65,849,616,137.82467532467533,43
47846,Vaughn van Jaarsveld,26,848,672,126.19047619047619,21
721867,Jitesh Sharma,39,846,550,153.8181818181818,34
625956,Leo Carter,46,839,692,121.24277456647398,31
1096092,Jamie Smith,43,839,675,124.29629629629629,34
784379,Wanindu Hasaranga de Silva,77,838,646,129.72136222910217,60
44752,Henry Davids,38,838,659,127.16236722306525,32
578769,Ed Barnard,76,833,647,128.7480680061824,58
410316,Alex Hughes,60,829,671,123.54694485842028,44
17185,Phil Mustard,36,828,713,116.12903225806451,36
12450,Steven Davies,48,826,581,142.16867469879517,48
485379,Andries Gous,32,822,605,135.86776859504133,28
697183,Tony de Zorzi,46,819,741,110.52631578947368,41
4068,Jim Allenby,37,817,683,119.61932650073206,35
348146,Ahsan Ali,44,813,651,124.88479262672811,40
677077,Romario Shepherd,61,810,541,149.72273567467653,38
55608,Hamilton Masakadza,34,809,673,120.20802377414562,32
747031,James Bracey,44,809,654,123.70030581039755,41
595004,Kyle Verreynne,40,809,616,131.33116883116884,34
464702,Diego Rosier,42,805,628,128.18471337579618,33
766809,Jordan Thompson,67,803,526,152.6615969581749,52
642525,Sarfaraz Khan,50,802,618,129.7734627831715,38
450142,Grant Thomson,31,800,625,128.0,25
902907,Tom Lammonby,48,800,552,144.92753623188406,41
8119,Adam Voges,34,797,630,126.5079365079365,18
301648,Jordan Clark,55,796,605,131.5702479338843,38
857653,Rishi Patel,40,793,590,134.40677966101694,38
37696,Hamish Marshall,30,789,533,148.03001876172607,29
333000,Peter Moor,39,787,622,126.52733118971061,35
595921,Curtis Campher,48,785,585,134.18803418803418,38
322815,Cody Chetty,25,785,628,125.0,19
1124283,Aaron Hardie,39,783,577,135.70190641247834,28
318339,Samiullah Shinwari,36,779,636,122.48427672955975,34
596137,Clyde Fortuin,44,777,650,119.53846153846153,39
711559,Usman Ghani,32,776,721,107.62829403606102,29
307756,Jatinder Singh,35,766,720,106.38888888888889,34
990081,Mohammad Naim,32,765,727,105.22696011004126,33
596436,Marques Ackerman,37,763,625,122.08,37
519070,Gerhard Erasmus,47,763,743,102.69179004037684,41
596442,Delano Potgieter,38,762,599,127.21202003338898,31
1110475,Jack Haynes,34,761,531,143.3145009416196,33
1093091,Michael Jones,29,759,560,135.53571428571428,28
823703,Rajat Patidar,21,752,503,149.50298210735588,19
26421,Ravichandran Ashwin,71,752,586,128.32764505119454,45
42683,Salman Butt,20,747,661,113.0105900151286,13
49289,Mahela Jayawardene,33,746,581,128.39931153184165,32
440516,Tom Blundell,36,740,581,127.36660929432014,35
1149157,Chris Benjamin,39,734,504,145.63492063492063,31
1005257,Simi Singh,53,733,608,120.5592105263158,42
485676,Keegan Petersen,34,733,699,104.86409155937054,26
834741,Caleb Jewell,35,732,577,126.8630849220104,35
384355,Anaru Kitchen,38,731,548,133.3941605839416,34
517542,Paul Coughlin,44,730,549,132.96903460837888,35
688141,Sean Dickson,33,728,569,127.94376098418277,24
594233,Sibonelo Makhanya,49,726,632,114.87341772151899,34
35390,Saurabh Tiwary,33,726,587,123.67972742759795,21
398778,Rory Burns,47,726,598,121.40468227424749,37
535393,Senuran Muthusamy,43,723,638,113.32288401253919,32
308294,Stuart Poynter,50,718,575,124.8695652173913,30
20367,Darren Stevens,48,718,520,138.07692307692307,42
314615,Jonathan Carter,42,717,660,108.63636363636364,37
596417,Brydon Carse,51,716,509,140.66797642436148,37
1178586,Vriitya Aravind,26,715,648,110.3395061728395,23
594329,Jacques Snyman,37,714,516,138.37209302325581,37
307808,Rohan Mustafa,39,709,590,120.16949152542372,35
517549,Michael Burgess,51,706,599,117.86310517529215,41
11724,Rikki Clarke,47,705,563,125.22202486678508,32
300073,Ned Eckersley,49,705,589,119.69439728353142,39
851261,Anmolpreet Singh,21,704,460,153.04347826086956,19
450101,Raymon Reifer,52,702,605,116.03305785123968,36
232361,Kieran Noema-Barnett,52,699,518,134.94208494208493,39
1097408,Rob Yates,27,699,520,134.42307692307693,29
623636,Kamran Ghulam,30,698,583,119.72555746140652,28
1076713,Cameron Green,33,697,460,151.52173913043478,25
826679,Sam Heazlett,44,694,571,121.54115586690017,43
549288,Ferisco Adams,45,691,576,119.96527777777777,34
553821,JJ Smit,43,687,491,139.91853360488798,23
526441,Mark Adair,63,687,576,119.27083333333333,52
364788,Ben Foakes,40,686,542,126.56826568265683,33
820691,Odean Smith,63,685,512,133.7890625,37
230852,Dean Elgar,28,684,622,109.96784565916398,26
707109,Sean Solia,35,684,582,117.52577319587628,31
794707,Dipendra Singh Airee,22,679,498,136.3453815261044,15
22559,Graham Wagg,49,678,548,123.72262773722628,33
